CCode,CName,Code,PSname,PSaddress
S02,Kwai Shing East Estate,S0201,ELCHK Kwai Shing Lutheran Primary School,"Kwai Shing East Estate, Kwai Chung, New Territories"
S03,Upper Tai Wo Hau,S0301,Yan Oi Tong Pang Hung Cheung Kindergarten,"G/F, Fu Tai House, Tai Wo Hau Estate, Tsuen Wan, New Territories"
S04,Lower Tai Wo Hau,S0401,Buddhist Lam Bing Yim Memorial School (Sponsored by the Hong Kong Buddhist Association),"33 Tai Ha Street, Tsuen Wan, New Territories"
S05,Kwai Chung Estate North,S0501,CCC Chuen Yuen College,"15 Sheung Kok Street, Kwai Chung Estate, Kwai Chung, New Territories"
S06,Kwai Chung Estate South,S0601,CCC Chuen Yuen Kindergarten,"Kwai Chung Estate, Kwai Chung, New Territories"
S06,Kwai Chung Estate South,S0602,SKH Yan Laap Primary School,"399 Kwai Shing Circuit, Kwai Chung, New Territories"
S07,Shek Yam,S0701,SKH Chu Oi Primary School,"45 Tung Chi Street, Shek Yam, Kwai Chung, New Territories"
S08,On Yam,S0801,Salesian Yip Hon Primary School,"On Yam Estate, Kwai Chung, New Territories"
S09,Shek Lei South,S0901,Shek Lei (I) Estate Indoor Activity Room,Shek Lei (I) Estate Car Park
S10,Shek Lei North,S1001,Shek Lei Community Hall,"2 Tai Pak Tin Street, Kwai Chung, New Territories"
S11,Tai Pak Tin,S1101,HKTA The Yuen Yuen Institute No.1 Secondary School,"42 Wo Yi Hop Road, Kwai Chung, New Territories"
S12,Kwai Fong,S1201,Buddhist Lim Kim Tian Memorial Primary School,"Buddhist Lim Kim Tian Memorial Primary School, Kwai Chung, New Territories"
S13,Wah Lai,S1301,"G/F, Conference Room, Northern Car Park, Wonderland Villas","Wonderland Villas, 9 Wah King Hill Road, Kwai Chung, New Territories"
S13,Wah Lai,S1302,Carmel Alison Lam Foundation Secondary School,"4 Wah King Hill Road, Kwai Chung, New Territories"
S13,Wah Lai,S1303,TWGHs Ko Ho Ning Memorial Primary School,"TWGHs Ko Ho Ning Memorial Primary School, Kwai Chung, New Territories, HK"
S15,Cho Yiu,S1501,The HKSYC&IA Chan Nam Chong Memorial College,"12 King Cho Road, Cho Yiu Chuen, Kwai Chung, New Territories"
S16,Hing Fong,S1601,Kwai Fong Community Hall,"2 Lai Fong Street, Kwai Chung, New Territories"
S18,Kwai Shing West Estate,S1801,Kwai Shing Community Hall,"Kwai Shing Community Hall, New Territories"
S19,On Ho,S1901,Delia (Man Kiu) English Primary School,"Phase 2, Cheung On Estate, Tsing Yi, New Territories"
S19,On Ho,S1902,CCC Yenching College,"12 Nga Ying Chau Street, Tsing Yi, New Territories"
S21,Tsing Yi Estate,S2101,Tsuen Wan Trade Association Primary School,"Phase 1, Area 1, Tsing Yi Estate, Tsing Yi, New Territories"
S22,Greenfield,S2201,TWGHs S. C. Gaw Memorial College,"7 Tsing Sum Street, Town Centre, Tsing Yi, New Territories"
S22,Greenfield,S2202,PLK Castar Primary School,"23 Tsing Luk Street, Tsing Yi, New Territories"
S23,Cheung Ching,S2301,Cheung Ching Estate Community Centre,"6 Ching Hong Road, Tsing Yi, New Territories"
S23,Cheung Ching,S2302,"Study Room, Mayfair Gardens","Study Room, L3, Block 11, Mayfair Gardens, 2-16 Sai Shan Road, Tsing Yi, New Territories"
S25,Shing Hong,S2501,Lok Sin Tong Leung Chik Wai Memorial School,"Phase 5, Cheung Hong Estate, Tsing Yi, New Territories"
S26,Tsing Yi South,S2601,Rambler Crest Club House,"Tower 1, 1 Tsing Yi Road, Tsing Yi, New Territories"
