"CCode","CName","Code","PSname","PSaddress","lon","lat"
"H13","Tsui Chuk & Pang Ching","H1301","Ho Tak Kindergarten (Sponsored by Sik Sik Yuen)","G/F, Chung Yuen House, Chuk Yuen North Estate, Wong Tai Sin, Kowloon",114.191706,22.345713
"H13","Tsui Chuk & Pang Ching","H1302","Level 5, Tsui Chuk Commercial Complex","Level 5, Tsui Chuk Commercial Complex, Tsui Chuk Garden, 8 Chui Chuk Street, Wong Tai Sin, Kowloon",114.1867267,22.3466156
"H14","Chuk Yuen South","H1401","Chuk Yuen Estate Community Centre","Chuk Yuen South Estate, 11 Chuk Yuen Road, Wong Tai Sin, Kowloon",114.1939005,22.3447696
"H14","Chuk Yuen South","H1402","Baptist Rainbow Primary School","Chuk Yuen South Estate, Wong Tai Sin, Kowloon",114.194352,22.344904
"H15","Chuk Yuen North","H1501","Chuk Yuen Sports Centre","Chuk Yuen North Estate, 10 Chuk Yuen Road, Wong Tai Sin, Kowloon",114.1935588,22.3454868
"H16","Tsz Wan West","H1601","Ho Lap Primary School (Sponsored by Sik Sik Yuen)","Tsz Lok Estate, Tsz Wan Shan, Kowloon",114.19909,22.347143
"H17","Ching Oi","H1701","Chiu Ha Kindergarten","Kindergarten Block, Stage 3, Tsz Oi Court, 120 Tsz Wan Shan Road, Tsz Wan Shan, Kowloon",114.1974836,22.3501981
"H19","Tsz Wan East","H1901","Tak Oi Secondary School","8 Tsz Wan Shan Road, Tsz Wan Shan, Kowloon",114.2046266,22.3474745
"H20","King Fu","H2001","Ho Fu Neighbourhood Centre for Senior Citizens (Sponsored by Sik Sik Yuen)","Fu Shun House, Fu Shan Estate, Wong Tai Sin, Kowloon",114.2091346,22.3426924
"H20","King Fu","H2002","Hong Kong Playground Association Jockey Club King Fu Integrated Service Centre For Children & Youth","Fu Shun House, Fu Shan Estate, Wong Tai Sin, Kowloon",114.2091346,22.3426924
"H21","Choi Wan East","H2101","PLK Anita L. L. Chan (Centenary) School","Choi Wan Estate, 55 Clear Water Bay Road, Kowloon",114.2168715,22.333227
"H22","Choi Wan South","H2201","Hong Kong Kindergarten Association Pre-School","G/F, Chi Siu House, Choi Wan Estate, Kowloon",114.2134069,22.3331591
"H23","Choi Wan West","H2301","Choi Wan Estate Community Centre","38 Choi Fung Path, Choi Wan (I) Estate, Ngau Chi Wan, Kowloon",114.213835,22.3350745
